time,gFx,gFy,gFz,wx,wy,wz
2026-07-01T12:03:57.050Z,-0.0002,-0.1271,-0.9870,0.0342,0.0225,0.0091
2026-07-01T12:03:57.060Z,-0.0009,-0.1297,-0.9911,0.0369,0.0021,0.0041
2026-07-01T12:03:57.069Z,-0.0018,-0.1283,-0.9979,0.0374,-0.0092,0.0036
2026-07-01T12:03:57.080Z,-0.0005,-0.1281,-0.9992,0.0284,-0.0290,-0.0001
2026-07-01T12:03:57.090Z,0.0039,-0.1330,-0.9959,0.0184,-0.0329,-0.0009
2026-07-01T12:03:57.100Z,0.0047,-0.1342,-0.9969,-0.0004,-0.0129,0.0104
2026-07-01T12:03:57.110Z,0.0073,-0.1329,-0.9973,-0.0081,0.0173,0.0126
2026-07-01T12:03:57.120Z,-0.0019,-0.1351,-0.9979,-0.0103,0.0291,0.0080
2026-07-01T12:03:57.130Z,0.0004,-0.1351,-0.9956,-0.0042,0.0163,0.0106
2026-07-01T12:03:57.140Z,0.0061,-0.1366,-0.9935,0.0103,0.0021,0.0216
2026-07-01T12:03:57.151Z,0.0089,-0.1355,-0.9922,0.0221,0.0080,0.0127
2026-07-01T12:03:57.160Z,0.0027,-0.1278,-0.9856,0.0221,0.0080,0.0127
2026-07-01T12:03:57.170Z,-0.0031,-0.1253,-0.9857,0.0163,0.0129,0.0023
2026-07-01T12:03:57.180Z,-0.0056,-0.1266,-0.9872,0.0052,0.0099,0.0018
2026-07-01T12:03:57.189Z,-0.0028,-0.1292,-0.9866,-0.0077,0.0084,0.0013
2026-07-01T12:03:57.201Z,-0.0004,-0.1340,-0.9858,-0.0224,0.0063,0.0087
2026-07-01T12:03:57.210Z,0.0026,-0.1345,-0.9865,-0.0388,0.0093,0.0112
2026-07-01T12:03:57.219Z,0.0019,-0.1326,-0.9922,-0.0444,0.0264,0.0084
2026-07-01T12:03:57.230Z,-0.0032,-0.1330,-0.9992,-0.0326,0.0405,0.0011
2026-07-01T12:03:57.239Z,-0.0049,-0.1310,-1.0036,-0.0188,0.0273,0.0024
2026-07-01T12:03:57.257Z,-0.0040,-0.1259,-1.0069,0.0061,0.0137,0.0012
2026-07-01T12:03:57.259Z,-0.0023,-0.1249,-1.0099,0.0061,0.0137,0.0012
2026-07-01T12:03:57.270Z,-0.0029,-0.1238,-1.0029,0.0301,-0.0224,-0.0086
2026-07-01T12:03:57.280Z,0.0015,-0.1283,-0.9950,0.0301,-0.0252,-0.0043
2026-07-01T12:03:57.290Z,0.0077,-0.1333,-0.9987,0.0236,-0.0198,0.0038
2026-07-01T12:03:57.302Z,0.0121,-0.1320,-0.9957,0.0151,-0.0134,0.0112
2026-07-01T12:03:57.310Z,0.0110,-0.1321,-0.9941,0.0109,0.0047,0.0163
2026-07-01T12:03:57.319Z,0.0069,-0.1317,-0.9903,0.0078,0.0280,0.0152
2026-07-01T12:03:57.330Z,0.0021,-0.1313,-0.9835,0.0006,0.0264,0.0162
2026-07-01T12:03:57.340Z,0.0022,-0.1324,-0.9786,-0.0060,0.0082,0.0184
2026-07-01T12:03:57.350Z,0.0034,-0.1334,-0.9817,-0.0191,-0.0160,0.0244
2026-07-01T12:03:57.360Z,0.0023,-0.1344,-0.9854,-0.0321,-0.0272,0.0209
2026-07-01T12:03:57.369Z,0.0002,-0.1357,-0.9905,-0.0324,-0.0225,0.0097
2026-07-01T12:03:57.380Z,-0.0070,-0.1346,-0.9997,-0.0234,-0.0007,-0.0008
2026-07-01T12:03:57.390Z,-0.0064,-0.1333,-1.0094,-0.0069,-0.0069,-0.0087
2026-07-01T12:03:57.401Z,-0.0051,-0.1343,-1.0101,0.0118,-0.0433,-0.0140
2026-07-01T12:03:57.410Z,0.0013,-0.1308,-1.0045,0.0285,-0.0601,-0.0119
2026-07-01T12:03:57.419Z,-0.0002,-0.1245,-0.9986,0.0395,-0.0515,-0.0001
2026-07-01T12:03:57.430Z,-0.0068,-0.1241,-0.9897,0.0388,-0.0301,0.0147
2026-07-01T12:03:57.440Z,-0.0142,-0.1281,-0.9885,0.0258,-0.0059,0.0195
2026-07-01T12:03:57.449Z,-0.0182,-0.1316,-0.9918,0.0107,0.0078,0.0122
2026-07-01T12:03:57.460Z,-0.0088,-0.1339,-0.9874,-0.0089,0.0105,-0.0008
2026-07-01T12:03:57.470Z,0.0018,-0.1331,-0.9875,-0.0215,0.0195,0.0044
2026-07-01T12:03:57.480Z,0.0109,-0.1347,-0.9895,-0.0178,0.0268,0.0157
2026-07-01T12:03:57.490Z,0.0069,-0.1349,-0.9902,-0.0092,0.0045,0.0089
2026-07-01T12:03:57.500Z,-0.0027,-0.1311,-0.9896,0.0038,-0.0138,-0.0058
2026-07-01T12:03:57.510Z,0.0011,-0.1299,-0.9882,0.0142,-0.0125,-0.0064
2026-07-01T12:03:57.520Z,0.0056,-0.1285,-0.9840,0.0043,-0.0045,0.0030
2026-07-01T12:03:57.530Z,0.0013,-0.1327,-0.9847,-0.0105,-0.0074,0.0008
2026-07-01T12:03:57.540Z,-0.0051,-0.1360,-0.9876,-0.0237,-0.0038,-0.0036
2026-07-01T12:03:57.549Z,-0.0009,-0.1400,-0.9939,-0.0181,-0.0147,-0.0015
2026-07-01T12:03:57.560Z,0.0003,-0.1376,-0.9986,-0.0100,-0.0124,-0.0070
2026-07-01T12:03:57.569Z,0.0003,-0.1353,-0.9999,-0.0029,0.0055,0.0026
2026-07-01T12:03:57.581Z,-0.0009,-0.1326,-0.9997,-0.0037,0.0319,0.0020
2026-07-01T12:03:57.590Z,-0.0065,-0.1320,-0.9953,-0.0063,0.0348,-0.0016
2026-07-01T12:03:57.602Z,-0.0039,-0.1340,-0.9884,-0.0162,0.0296,-0.0004
